

"Alarm Records -- Current Alarms"
"Save Time: 16/07/2024 18:34:07"
"Username: jzambrano"
"Alarm status = Acknowledged and uncleared,Unacknowledged and uncleared."

" ","Severity","Alarm Source","Name","Last Occurred (NT)","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","RRU Name","Alarm ID","Cleared By","Acknowledged By","BBU Name","NE Type","Clearance Status","Acknowledgement Status","eNodeB ID","User Label","Log Serial Number"
"Root alarm","Major","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","SCTP Link Fault","16/07/2024 18:32:16","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","Link No.=71240, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11149, Peer IP Address=10.52.26.117, Service Type=X2-AP","1","16/07/2024 18:32:16","		-","		-","		-","25888","		-","		-","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","BTS3900 LTE","Uncleared","Unacknowledged","11721","		-","240790404"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:12","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73785, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11150, Peer IP Address=10.52.24.85, Service Type=X2-AP","1","16/07/2024 18:32:12","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790401"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:10","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73784, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11207, Peer IP Address=10.52.27.161, Service Type=X2-AP","1","16/07/2024 18:32:10","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790391"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:08","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73783, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11052, Peer IP Address=10.52.27.113, Service Type=X2-AP","1","16/07/2024 18:32:08","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790384"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:05","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73781, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51434, Peer IP Address=10.52.58.190, Service Type=X2-AP","1","16/07/2024 18:32:05","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790376"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:32:05","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73030, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51074, Peer IP Address=10.52.59.10, Service Type=X2-AP","1","16/07/2024 18:32:05","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790375"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:32:07","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73031, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11042, Peer IP Address=10.52.27.33, Service Type=X2-AP","1","16/07/2024 18:32:07","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790377"
"Root alarm","Major","L_GUA11152_LA_FLORIDA_OESTE","SCTP Link Fault","16/07/2024 18:32:07","Link No.=79168","Link No.=79168, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11289, Peer IP Address=10.52.27.73, Service Type=X2-AP","1","16/07/2024 18:32:07","		-","		-","		-","25888","		-","		-","L_GUA11152_LA_FLORIDA_OESTE","BTS3900 LTE","Uncleared","Unacknowledged","11152","		-","240790378"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:32:06","L_GUA11684_GUA_DUR_5_JUN","Link No.=73515, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11366, Peer IP Address=10.52.27.181, Service Type=X2-AP","1","16/07/2024 18:32:06","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790379"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:07","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73782, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11377, Peer IP Address=10.52.28.5, Service Type=X2-AP","1","16/07/2024 18:32:07","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790381"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:32:02","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73029, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11067, Peer IP Address=10.52.26.237, Service Type=X2-AP","1","16/07/2024 18:32:02","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790372"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:01","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73779, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51054, Peer IP Address=10.52.60.82, Service Type=X2-AP","1","16/07/2024 18:32:01","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790370"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:01","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73780, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11340, Peer IP Address=10.52.27.241, Service Type=X2-AP","1","16/07/2024 18:32:01","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790371"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:31:59","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73028, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51067, Peer IP Address=10.52.58.254, Service Type=X2-AP","1","16/07/2024 18:31:59","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790359"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:31:59","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73778, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11352, Peer IP Address=10.52.27.173, Service Type=X2-AP","1","16/07/2024 18:31:59","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790363"
"Root alarm","Major","L_GUA11366_DURAN_NORTE","SCTP Link Fault","16/07/2024 18:32:01","Link No.=74125","Link No.=74125, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51434, Peer IP Address=10.52.58.190, Service Type=X2-AP","1","16/07/2024 18:32:01","		-","		-","		-","25888","		-","		-","L_GUA11366_DURAN_NORTE","BTS3900 LTE","Uncleared","Unacknowledged","11366","		-","240790364"
"Root alarm","Major","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","SCTP Link Fault","16/07/2024 18:32:00","Link No.=73431","Link No.=73431, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11685, Peer IP Address=10.52.28.41, Service Type=X2-AP","1","16/07/2024 18:32:00","		-","		-","		-","25888","		-","		-","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","BTS3900 LTE","Uncleared","Unacknowledged","11340","		-","240790366"
"Root alarm","Major","L_GUA11683_GUA_DUR_HERRADURA","SCTP Link Fault","16/07/2024 18:32:01","L_GUA11683_GUA_DUR_HERRADURA","Link No.=77861, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51434, Peer IP Address=10.52.58.190, Service Type=X2-AP","1","16/07/2024 18:32:01","		-","		-","		-","25888","		-","		-","L_GUA11683_GUA_DUR_HERRADURA","BTS3900 LTE","Uncleared","Unacknowledged","11683","		-","240790365"
"Root alarm","Major","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","SCTP Link Fault","16/07/2024 18:32:01","Link No.=73432","Link No.=73432, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51434, Peer IP Address=10.52.58.190, Service Type=X2-AP","1","16/07/2024 18:32:01","		-","		-","		-","25888","		-","		-","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","BTS3900 LTE","Uncleared","Unacknowledged","11340","		-","240790367"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:31:58","L_GUA11684_GUA_DUR_5_JUN","Link No.=73514, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11207, Peer IP Address=10.52.27.161, Service Type=X2-AP","1","16/07/2024 18:31:58","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790356"
"Root alarm","Major","L_GUA11683_GUA_DUR_HERRADURA","SCTP Link Fault","16/07/2024 18:31:57","L_GUA11683_GUA_DUR_HERRADURA","Link No.=77860, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51054, Peer IP Address=10.52.60.82, Service Type=X2-AP","1","16/07/2024 18:31:57","		-","		-","		-","25888","		-","		-","L_GUA11683_GUA_DUR_HERRADURA","BTS3900 LTE","Uncleared","Unacknowledged","11683","		-","240790344"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:31:56","L_GUA11684_GUA_DUR_5_JUN","Link No.=73513, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51054, Peer IP Address=10.52.60.82, Service Type=X2-AP","1","16/07/2024 18:31:56","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790345"
"Root alarm","Major","L_GUA11164_CAPWELL","SCTP Link Fault","16/07/2024 18:31:58","Link No.=72792","Link No.=72792, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-22201, Peer IP Address=10.66.17.134, Service Type=X2-AP","1","16/07/2024 18:31:58","		-","		-","		-","25888","		-","		-","L_GUA11164_CAPWELL","BTS3900 LTE","Uncleared","Unacknowledged","11164","		-","240790346"
"Root alarm","Major","L_GUA11682_GUA_GYE_MERCEDARIAS","SCTP Link Fault","16/07/2024 18:31:55","Link No.=73540","Link No.=73540, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11134, Peer IP Address=10.52.25.201, Service Type=X2-AP","1","16/07/2024 18:31:55","		-","		-","		-","25888","		-","		-","L_GUA11682_GUA_GYE_MERCEDARIAS","BTS3900 LTE","Uncleared","Unacknowledged","11682","		-","240790335"
"Root alarm","Major","L_GUA11722_GUA_GYE_LOS_VERGELES_2","SCTP Link Fault","16/07/2024 18:31:56","Link No.=73682","Link No.=73682, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51067, Peer IP Address=10.52.58.254, Service Type=X2-AP","1","16/07/2024 18:31:56","		-","		-","		-","25888","		-","		-","L_GUA11722_GUA_GYE_LOS_VERGELES_2","BTS3900 LTE","Uncleared","Unacknowledged","11722","		-","240790336"
"Root alarm","Major","PIC_UIO_ARMENIA_BAJA_UL","SCTP Link Fault","16/07/2024 18:31:55","Link No.=78410","Link No.=78410, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-44254, Peer IP Address=10.41.92.173, Service Type=X2-AP","1","16/07/2024 18:31:55","		-","		-","		-","25888","		-","		-","PIC_UIO_ARMENIA_BAJA_UL","BTS5900","Uncleared","Unacknowledged","44343","		-","240790339"
"Root alarm","Major","PIC_CHI_SAN_FRANCISCO_ALPAHUMA_UL","SCTP Link Fault","16/07/2024 18:31:55","Link No.=79744","Link No.=79744, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-44447, Peer IP Address=10.41.99.253, Service Type=X2-AP","1","16/07/2024 18:31:55","		-","		-","		-","25888","		-","		-","PIC_CHI_SAN_FRANCISCO_ALPAHUMA_UL","BTS5900","Uncleared","Unacknowledged","44417","		-","240790340"
"Root alarm","Major","L_GUA11681_GUA_SAM_URB_MALAGA","SCTP Link Fault","16/07/2024 18:31:57","Link No.=71735","Link No.=71735, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51054, Peer IP Address=10.52.60.82, Service Type=X2-AP","1","16/07/2024 18:31:57","		-","		-","		-","25888","		-","		-","L_GUA11681_GUA_SAM_URB_MALAGA","BTS3900 LTE","Uncleared","Unacknowledged","11681","		-","240790341"
"Root alarm","Major","L_GUA11682_GUA_GYE_MERCEDARIAS","SCTP Link Fault","16/07/2024 18:31:54","Link No.=73539","Link No.=73539, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51252, Peer IP Address=10.52.58.50, Service Type=X2-AP","1","16/07/2024 18:31:54","		-","		-","		-","25888","		-","		-","L_GUA11682_GUA_GYE_MERCEDARIAS","BTS3900 LTE","Uncleared","Unacknowledged","11682","		-","240790332"
"Root alarm","Major","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","SCTP Link Fault","16/07/2024 18:31:53","Link No.=73430","Link No.=73430, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51881, Peer IP Address=10.52.54.210, Service Type=X2-AP","1","16/07/2024 18:31:53","		-","		-","		-","25888","		-","		-","L_GUA11340_GUA_MIL_BELLAVISTA_NORTE","BTS3900 LTE","Uncleared","Unacknowledged","11340","		-","240790333"
"Root alarm","Major","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","SCTP Link Fault","16/07/2024 18:31:52","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","Link No.=71239, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11092, Peer IP Address=10.52.25.193, Service Type=X2-AP","1","16/07/2024 18:31:52","		-","		-","		-","25888","		-","		-","L_GUA11721_GUA_GYE_CEIBOS PERIMETRAL","BTS3900 LTE","Uncleared","Unacknowledged","11721","		-","240790331"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:31:49","L_GUA11684_GUA_DUR_5_JUN","Link No.=73512, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11052, Peer IP Address=10.52.27.113, Service Type=X2-AP","1","16/07/2024 18:31:49","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790330"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:31:45","L_GUA11684_GUA_DUR_5_JUN","Link No.=73511, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51016, Peer IP Address=10.52.60.70, Service Type=X2-AP","1","16/07/2024 18:31:45","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790324"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:31:45","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73777, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51016, Peer IP Address=10.52.60.70, Service Type=X2-AP","1","16/07/2024 18:31:45","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790325"
"Root alarm","Major","L_GUA11683_GUA_DUR_HERRADURA","SCTP Link Fault","16/07/2024 18:31:46","L_GUA11683_GUA_DUR_HERRADURA","Link No.=77859, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51016, Peer IP Address=10.52.60.70, Service Type=X2-AP","1","16/07/2024 18:31:46","		-","		-","		-","25888","		-","		-","L_GUA11683_GUA_DUR_HERRADURA","BTS3900 LTE","Uncleared","Unacknowledged","11683","		-","240790323"
"Root alarm","Major","L_GUA11152_LA_FLORIDA_OESTE","SCTP Link Fault","16/07/2024 18:31:46","Link No.=79167","Link No.=79167, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11305, Peer IP Address=10.52.27.29, Service Type=X2-AP","1","16/07/2024 18:31:46","		-","		-","		-","25888","		-","		-","L_GUA11152_LA_FLORIDA_OESTE","BTS3900 LTE","Uncleared","Unacknowledged","11152","		-","240790322"
"Root alarm","Major","PI_UIO_ESTADIO_DEL_AUCAS_UL","SCTP Link Fault","16/07/2024 18:31:46","Link No.=70057","Link No.=70057, Description=eNodeB:MCC_740 MNC_02 eNodeBId_43308, Peer IP Address=10.41.95.165, Service Type=X2-AP","1","16/07/2024 18:31:46","		-","		-","		-","25888","		-","		-","PI_UIO_ESTADIO_DEL_AUCAS_UL","BTS3900","Uncleared","Unacknowledged","44232","		-","240790327"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:31:43","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73776, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11370, Peer IP Address=10.52.27.193, Service Type=X2-AP","1","16/07/2024 18:31:43","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790320"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:31:42","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73027, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11157, Peer IP Address=10.52.27.41, Service Type=X2-AP","1","16/07/2024 18:31:42","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790316"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:31:41","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73775, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51207, Peer IP Address=10.52.60.86, Service Type=X2-AP","1","16/07/2024 18:31:41","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790318"
"		-","Major","ORE_JOY_PETROBRAS_UL","Sensor de Temperatura Minishelter","16/07/2024 18:33:19","ORE_JOY_PETROBRAS_UL","Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=6, Board Type=UPEU, Manager Cabinet No.=NULL, Manager Subrack No.=NULL, User Label=NULL","1","16/07/2024 18:33:19","		-","		-","		-","65130","		-","		-","ORE_JOY_PETROBRAS_UL","BTS5900","Uncleared","Unacknowledged","44876","		-","240790313"
"Root alarm","Major","PIC_UIO_NUEVO_AMANECER_UL","SCTP Link Fault","16/07/2024 18:31:40","Link No.=75120","Link No.=75120, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-44359, Peer IP Address=10.41.94.49, Service Type=X2-AP","1","16/07/2024 18:31:40","		-","		-","		-","25888","		-","		-","PIC_UIO_NUEVO_AMANECER_UL","BTS5900","Uncleared","Unacknowledged","44395","		-","240790314"
"Root alarm","Major","L_GUA11034_SAUCES","SCTP Link Fault","16/07/2024 18:31:41","Link No.=78372","Link No.=78372, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51669, Peer IP Address=10.52.60.22, Service Type=X2-AP","1","16/07/2024 18:31:41","		-","		-","		-","25888","		-","		-","L_GUA11034_SAUCES","BTS3900 LTE","Uncleared","Unacknowledged","11034","		-","240790315"
"Root alarm","Major","L_GUA11720_GUA_DAU_PLAZA MADEIRA","SCTP Link Fault","16/07/2024 18:31:38","L_GUA11720_GUA_DAU_PLAZA MADEIRA","Link No.=73026, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51168, Peer IP Address=10.52.59.118, Service Type=X2-AP","1","16/07/2024 18:31:38","		-","		-","		-","25888","		-","		-","L_GUA11720_GUA_DAU_PLAZA MADEIRA","BTS3900 LTE","Uncleared","Unacknowledged","11720","		-","240790307"
"Root alarm","Major","L_GUA11152_LA_FLORIDA_OESTE","SCTP Link Fault","16/07/2024 18:31:39","Link No.=79166","Link No.=79166, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51669, Peer IP Address=10.52.60.22, Service Type=X2-AP","1","16/07/2024 18:31:39","		-","		-","		-","25888","		-","		-","L_GUA11152_LA_FLORIDA_OESTE","BTS3900 LTE","Uncleared","Unacknowledged","11152","		-","240790308"
"Root alarm","Major","L_GUA11288_ESTRELLA_DE_BELEN","SCTP Link Fault","16/07/2024 18:31:39","Link No.=76957","Link No.=76957, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51669, Peer IP Address=10.52.60.22, Service Type=X2-AP","1","16/07/2024 18:31:39","		-","		-","		-","25888","		-","		-","L_GUA11288_ESTRELLA_DE_BELEN","BTS3900 LTE","Uncleared","Unacknowledged","11288","		-","240790309"
